time_absolute,gpu_util_perc,gpu_mem_used_mb,power_draw_w
1785069922.6044116,100.0,629.0,211.03
1785069923.6594064,41.0,5017.0,101.15
1785069924.6973164,100.0,6159.0,321.9
1785069925.7357583,94.0,655.0,237.35
1785069926.7915456,23.0,1835.0,159.1
1785069927.832905,100.0,6159.0,213.55
1785069928.8724818,100.0,6159.0,345.71
1785069929.9077942,95.0,6713.0,204.04
1785069930.9442408,43.0,4541.0,97.12
1785069931.9818234,100.0,6721.0,307.49
1785069933.0400174,100.0,6721.0,349.46
1785069934.0770862,100.0,6721.0,348.19
1785069935.118767,100.0,12843.0,210.98
1785069936.1563306,43.0,2057.0,181.68
1785069937.197358,100.0,7515.0,167.42
1785069938.2371254,100.0,7847.0,346.81
1785069939.2734165,100.0,7847.0,347.19
1785069940.3321614,100.0,7847.0,350.3
1785069941.3695724,100.0,7847.0,347.95
1785069942.4096718,100.0,7847.0,349.95
1785069943.4491653,71.0,7847.0,277.47
1785069944.4872928,100.0,24877.0,244.65
1785069945.523984,100.0,24877.0,262.68
1785069946.5602174,72.0,781.0,102.58
1785069947.5974066,100.0,6159.0,215.8
1785069948.6365137,100.0,6159.0,348.82
1785069949.671935,80.0,491.0,180.26
1785069950.7123923,41.0,5507.0,99.63
1785069951.7536867,100.0,6721.0,330.57
1785069952.7935574,100.0,6721.0,349.3
1785069953.836834,92.0,6721.0,332.37
1785069954.8754811,100.0,12843.0,198.49
1785069955.915596,27.0,1225.0,169.39
1785069956.9537272,100.0,7521.0,213.79
1785069957.9967396,100.0,7847.0,351.98
1785069959.0333192,100.0,7847.0,346.77
1785069960.073498,100.0,7847.0,351.54
1785069961.1125984,100.0,7847.0,346.14
1785069962.1499393,100.0,7847.0,345.01
1785069963.187787,89.0,443.0,255.5
1785069964.2247803,100.0,24877.0,282.78
1785069965.2598531,44.0,491.0,237.32
1785069966.3001976,42.0,2619.0,105.05
1785069967.3371696,100.0,6159.0,270.23
1785069968.3808727,68.0,6159.0,309.46
1785069969.4471643,43.0,1417.0,159.42
1785069970.4853046,100.0,6555.0,140.86
1785069971.5252986,100.0,6721.0,351.64
1785069972.565551,100.0,6721.0,348.87
1785069973.6052463,71.0,6721.0,303.94
1785069974.6496,100.0,12843.0,229.21
1785069975.6921396,61.0,1589.0,139.92
1785069976.74834,100.0,6159.0,254.26
1785069977.78964,87.0,6159.0,328.35
1785069978.827962,65.0,631.0,160.99
1785069979.865132,68.0,6159.0,116.99
1785069980.9052086,100.0,6159.0,350.63
1785069981.946304,85.0,7851.0,211.83
1785069982.9840484,75.0,983.0,159.7
1785069984.0213332,100.0,7521.0,239.66
1785069985.0613277,100.0,7847.0,351.15
1785069986.1015065,100.0,7847.0,346.88
1785069987.1421435,100.0,7847.0,352.82
1785069988.1807714,100.0,7847.0,349.0
1785069989.2177408,100.0,7847.0,349.41
1785069990.2559626,76.0,24877.0,225.48
1785069991.2957163,100.0,24877.0,274.29
1785069992.3316615,100.0,573.0,216.99
1785069993.368039,42.0,3813.0,100.11
1785069994.4052644,100.0,6159.0,305.57
1785069995.4455256,70.0,6159.0,267.08
1785069996.4837363,42.0,1843.0,158.93
